item,item_transitivity,mean_sentence_transitivity,transitivity_binned,mean_sdi,mean_path_similarity_score,mean_embedding_score,gesturer,Alternate,Manipulation,Tool,Movement,Manner,HS1Code,HS2Code,finger_complexity,joint_complexity,flexion,nsf_flexion,selected_fingers,aperture_change,nsf_thumb,thumb_flex,two_handed
racecar-into-box-IN,0,0.5,0,2.613818108,0.1342386621,7.036861304,CM,0,0,0,1,0,BTo,B^T-,1,2,6,0,imrpthumb,0,1,0,1
box-move-IN,0,0.85,1,1.967468035,0.2755413534,5.892610683,RVN,1,0,0,1,1,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
reorient-pole-TR,1,0.8772,1,2.587038923,0.121920078,6.096663532,NP,0,1,0,0,0,BT(,BTc,1,2,4,0,imrpthumb,0,1,0,1
fan-turn-IN,0,0.275,0,2.841951219,0.08523684211,7.265665778,CM,1,0,0,1,0,BT@ BT^x BT^< B^T-,,1,2,7,0,imrpthumb,1,1,0,0
take-keys-out-of-box-TR,1,0.9,1,1.956558888,0.2294736842,5.680123572,CS,0,1,0,0,0,1@;T-;#,BT(,3,1,7,1,ithumb,0,0,1,1
light-candle-TR,1,0.925,1,2.757570705,0.07829197995,7.38851912,IP,0,1,1,0,0,B@;T- Bk@;/,,2,2,7,0,imrpthumb,0,-1,1,0
tape-measurer-bend-half-IN,0,0.2105,0,1.42776019,0.3416374269,4.40474723,RVN,0,0,0,0,0,B^T-,BTkc,1,2,1,0,imrpthumb,0,-1,-1,1
bounce-ball-TR,1,0.725,1,1.564853843,0.362518797,5.742552834,RVN,1,1,0,0,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
ball-bounce-IN,0,0.25,0,1.462112903,0.2139473684,4.855661378,HO,1,0,0,1,1,BT^c B^T,BT^c B^T,1,2,5,0,imrpthumb,1,1,0,1
roll-out-TR,1,0.95,1,2.271868513,0.1807924356,7.250394196,HO,0,1,0,0,0,BT^c BT^[,BT^c,1,2,5,0,imrpthumb,0,1,0,1
fizzle-down-IN,0,0.3,0,2.778225413,0.1022280702,7.594724059,CM,0,0,0,1,1,B^T,B^T,1,2,1,0,imrpthumb,0,1,1,1
box-move-IN,0,0.65,0,1.504788284,0.6469298246,3.999883858,CM,1,0,0,1,1,B^T-,B^T,1,2,1,0,imrpthumb,0,-1,-1,1
approach-coatrack-IN,0,0.425,0,2.532591161,0.2116378446,7.082035355,NP,0,0,0,1,0,UT[;#,B;/,2,2,2,1,imthumb,0,2,1,1
picture-shift-IN,0,0.4333,0,1.943990303,0.4108157895,6.159393756,CM,1,0,0,1,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
balloon-deflate-IN,0,0.4211,0,2.331252849,0.179907091,6.857789809,CM,0,0,0,0,0,B^T BT^c,B^T BT^c,1,2,1,0,imrpthumb,1,1,1,1
picture-shift-IN,0,1,1,2.303379505,0.1289473684,6.563853129,NP,1,0,0,1,0,B@;/,B@;/,2,1,7,-1,imrp,0,-1,1,1
light-turn-on-IN,0,0.55,0,2.672682435,0.01602339181,7.244518949,NP,0,0,0,0,0,BTo B^T-,BT@,1,2,6,0,imrpthumb,1,1,0,1
measure-book-TR,1,1,1,1.762208171,0.2873886104,5.866084478,CS,0,1,1,0,0,1@;T-;# 1T(;#,1@;T-;# 1T(;#,3,1,7,1,ithumb,0,0,1,1
bread-spin-IN,0,0.425,0,2.310717508,0.187537594,6.366946745,NP,1,0,0,1,1,1T-;#,,2,1,1,1,ithumb,0,0,-1,0
push-button-microwave-TR,1,1,1,2.345862464,0.14945162,7.079227883,CS,0,1,0,0,0,1;T;#,B@;#,3,1,1,1,ithumb,0,2,1,1
ball-drop-IN,0,0.55,0,2.428468265,0.07847744361,6.36876684,HO,1,0,0,1,0,BT^[,B^T-,1,2,2,0,imrpthumb,0,1,1,1
crush-can-TR,1,0.9474,1,2.154783153,0.1926803119,7.338946975,CS,0,1,0,0,0,BT^< BT^[,BT^< BT^[,1,2,3,0,imrpthumb,0,1,0,1
coatrack-approach-IN,0,0.4167,0,2.199813959,0.1908976988,5.959991015,CS,0,0,0,1,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
person-bend-over-IN,0,0.2,0,2.361738367,0.1728609023,6.928380778,RVN,0,0,0,0,0,B;/ Bo;T- B@;T,,2,1,1,-1,imrp,1,-1,1,0
fizzle-down-IN,0,0.1825,0,2.737234329,0.08294444444,7.979463668,IP,0,0,0,1,1,BTo B^T-,BTo B^T-,1,2,6,0,imrpthumb,1,1,0,1
shaving-cream-spray-IN,0,0.35,0,2.546116529,0.07306140351,7.682870087,RVN,1,0,0,1,1,1<;T-;#,1c;#,3,2,3,1,ithumb,0,0,-1,1
car-pass-tower-IN,0,0.3,0,2.299612816,0.2406641604,7.085348069,HO,0,0,0,1,0,B^T-,BT-,1,2,1,0,imrpthumb,0,-1,-1,1
tear-paper-TR,1,0.95,1,1.155885139,0.5341403509,5.013596873,RVN,0,1,0,0,0,1T>;#,1T>;#,2,2,6,1,ithumb,0,2,1,1
stick-break-IN,0,0.1667,0,2.123045554,0.1799463119,6.231623695,CS,1,0,0,0,0,BT-c,BT-c,1,2,5,0,imrpthumb,0,-1,-1,1
paper-drop-IN,0,0,0,1.310686555,0.5047368421,4.845287098,IP,0,0,0,1,1,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
take-keys-out-of-box-TR,1,0.3,0,2.493346269,0.01788220551,6.90418509,RVN,0,1,0,0,0,BT^c Bkc;/,BT^c,1,3,5,0,imrpthumb,0,1,0,1
cards-scatter-IN,0,0.725,1,2.592787427,0.09664536341,7.449417047,NP,0,0,0,1,1,BTc B^T-,Bc;/,1,2,5,0,imrpthumb,1,1,0,1
hit-balloon-TR,1,0.8417,1,2.182897499,0.1744561404,6.407648148,NP,0,1,0,0,0,B;/ B;T,BTx B^T,2,1,1,-1,imrp,0,-1,1,1
bread-spin-IN,0,0.2,0,2.036840745,0.2927192982,6.38591164,RVN,1,0,0,1,1,1;T;#,1;#,3,1,1,1,ithumb,0,2,1,1
ball-bounce-IN,0,0.325,0,1.798978836,0.1149887218,5.479292208,RVN,1,0,0,1,1,DTo;/,,2,2,6,-1,mrpthumb,0,0,1,0
paper-airplane-land-IN,0,0.05,0,1.929538294,0.2598245614,6.545983609,CS,0,0,0,1,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
tower-fall-IN,0,0.525,0,1.635582847,0.2318458647,4.833080152,NP,1,0,0,0,0,H;#,BT-,2,1,1,1,ip,0,1,1,1
spin-bread-TR,1,0.65,0,2.777050329,0.02289473684,7.343174709,HO,1,1,0,0,0,BT^c B^c;/,BT^c B^T-,1,2,5,0,imrpthumb,0,1,0,1
ball-bounce-IN,0,0.35,0,2.14262166,0.169877193,6.011277208,NP,1,0,0,1,1,BT@ BT-^c,,1,1,7,0,imrpthumb,0,1,0,0
pour-bottle-caps-TR,1,1,1,0.567060931,0.7456140351,2.207756803,HO,1,1,1,0,0,BT^c,BT-^c,1,2,5,0,imrpthumb,0,1,0,1
tower-fall-IN,0,0.3417,0,2.10835013,0.2761140351,5.377386584,RVN,1,0,0,0,0,B^;# M;#,B^T,3,2,1,1,imrp,0,1,1,1
dip-finger-in-jar-TR,1,0.85,1,2.14075483,0.1580125313,6.569667707,NP,0,1,0,0,0,J;#,BTc,2,1,1,1,p,0,1,1,1
remove-cork-TR,1,1,1,2.55394294,0.1227669173,7.162418062,IP,0,1,0,0,0,BT@,,1,1,7,0,imrpthumb,0,1,0,0
pop-balloon-TR,1,0.5,0,2.293123206,0.07268031189,6.917326766,CM,0,1,1,0,0,UTo# B^T,B^T,3,2,6,1,imthumb,1,2,0,1
pop-balloon-TR,1,0.7167,1,1.934485596,0.2776754386,6.812566734,HO,0,1,1,0,0,1T>;/ BT-^c,BT-^c,3,2,6,-1,ithumb,0,0,1,1
put-book-on-side-TR,1,0.95,1,1.703054677,0.3279824561,5.703005017,CS,1,1,0,0,0,BT^c,,1,2,5,0,imrpthumb,0,1,0,0
racecar-into-box-IN,0,0.15,0,1.163723348,0.4991353383,4.615315402,NP,0,0,0,1,0,U^[;#,B;/,2,2,2,1,im,0,1,1,1
plug-in-TR,1,0.7167,1,2.754331704,0.1047101276,6.37040147,CS,0,1,1,0,0,BT^c,BT^c,1,2,5,0,imrpthumb,0,1,0,1
picture-shift-IN,0,0.8246,1,2.672911592,0.08598301309,6.60322543,CS,1,0,0,1,0,B^T-,B^T,1,2,1,0,imrpthumb,0,-1,-1,1
stick-break-IN,0,0.7083,1,2.162243243,0.06214411028,6.616415536,NP,1,0,0,0,0,BT>,BT>,1,2,6,0,imrpthumb,0,1,0,1
paper-airplane-land-IN,0,0.15,0,1.695723926,0.3252192982,6.163635882,HO,0,0,0,1,0,B^T-,B;/,1,2,1,0,imrpthumb,0,-1,-1,1
take-keys-out-of-box-TR,1,1,1,2.673761265,0.04813220551,6.488749782,IP,0,1,0,0,0,BT^c,Bkc;/,1,2,5,0,imrpthumb,0,1,0,1
bowl-break-IN,0,0.2982,0,2.643921158,0.0865497076,7.061136343,RVN,0,0,0,0,0,BT@ BT-k,BT@ BT-k,1,2,7,0,imrpthumb,1,1,0,1
cards-scatter-IN,0,0.6583,0,2.972845712,0.04486340852,7.108700413,HO,0,0,0,1,1,B^;#,BT-,2,2,1,1,imrp,0,1,1,1
person-bend-over-IN,0,0.1579,0,2.232694477,0.2951949318,6.63199874,HO,0,0,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
shake-shaker-TR,1,0.9298,1,2.444199786,0.1220523531,7.146461393,IP,0,1,0,0,0,Bk[;/,BTk[,2,3,2,-1,imrp,0,-1,1,1
turn-fan-TR,1,0.8583,1,2.111216546,0.3403070175,5.025986532,RVN,1,1,0,0,0,BT^(,BT^(,1,2,4,0,imrpthumb,0,1,0,1
racecar-into-box-IN,0,0.225,0,2.035260359,0.2407274436,6.66529286,HO,0,0,0,1,0,B;T,B;/,2,1,1,0,imrpthumb,0,1,1,1
light-candle-TR,1,0.8684,1,2.736140579,0.07106307435,7.080055644,HO,0,1,1,0,0,B[;T- 1T-@;# BT,1<;T;#,3,2,2,0,imrpthumb,1,-1,-1,1
ball-roll-IN,0,0.25,0,2.666148587,0.2104611529,7.772443919,CS,0,0,0,1,1,BT,B^T B^T-,1,1,1,0,imrpthumb,0,1,1,1
spin-bread-TR,1,0.75,1,2.480465949,0.07877380952,7.038364573,CS,1,1,0,0,0,BT^c Bkc;/,,1,3,5,0,imrpthumb,0,1,0,0
plug-in-TR,1,0.7368,1,2.506661812,0.1852172941,6.771961934,CM,0,1,1,0,0,1Tc;#,BT^(,2,2,5,1,ithumb,0,2,1,1
push-button-microwave-TR,1,0.5,0,2.76319961,0.06879072682,6.786369168,NP,0,1,0,0,0,1;T;#,B;/,3,1,1,1,ithumb,0,2,1,1
box-move-IN,0,0.35,0,2.375646548,0.2270334169,6.757246306,IP,1,0,0,1,1,1<;T;#,,3,2,3,1,ithumb,0,2,0,0
remove-cork-TR,1,0.95,1,1.646196099,0.242443609,6.328723299,HO,0,1,0,0,0,BT@,BT^c,1,1,7,0,imrpthumb,0,1,0,1
hit-bottle-with-ball-TR,1,0.675,0,2.315191266,0.1625229741,6.246470578,RVN,0,1,1,0,0,BT^(,,1,2,4,0,imrpthumb,0,1,0,0
bowl-break-IN,0,0.5526,0,2.473207589,0.146652743,7.194836282,CS,0,0,0,0,0,B^T,B^T,1,2,1,0,imrpthumb,0,1,1,1
march-IN,0,0.4625,0,2.60043118,0.1805204678,6.934699351,CS,0,0,0,1,1,B<;/,B;/,2,2,3,-1,imrp,0,-1,1,1
pour-bottle-caps-TR,1,1,1,2.050705726,0.1784301663,6.61327773,CS,1,1,1,0,0,BT^c,BT^c,1,2,5,0,imrpthumb,0,1,0,1
toy-appear-in-box-IN,0,0.3917,0,2.811375957,0.09117862839,7.277525122,HO,0,0,0,1,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
whirly-gig-drop-IN,0,0.075,0,1.695723926,0.4568421053,5.433503871,NP,0,0,0,1,1,B^T- BTk,,1,3,1,0,imrpthumb,0,-1,-1,0
book-fall-over-IN,0,0.25,0,1.51237718,0.3782781955,4.732586813,RVN,1,0,0,1,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
cards-scatter-IN,0,0.275,0,2.648438335,0.09072472849,7.613717831,CS,0,0,0,1,1,B;/,,2,1,1,-1,imrp,0,-1,1,0
hanger-swing-IN,0,0.275,0,1.879896132,0.2942105263,6.599986251,NP,0,0,0,1,1,JT-;#,B;#,2,1,1,1,pthumb,0,0,-1,1
approach-coatrack-IN,0,0.05,0,2.196051697,0.2963596491,6.31132706,CS,0,0,0,1,0,1To;/,,2,2,6,-1,ithumb,0,0,1,0
stick-break-IN,0,0.3,0,2.296332349,0.1982894737,5.896668965,CM,1,0,0,0,0,BT( BTk,B;/,1,3,4,0,imrpthumb,0,1,0,1
pull-out-measuring-tape-TR,1,1,1,1.542538675,0.3410463659,4.860733322,NP,0,1,0,0,0,1T>;#,BT@,2,2,6,1,ithumb,0,2,1,1
ball-drop-IN,0,0.2105,0,2.459559536,0.04803118908,6.330912517,RVN,1,0,0,1,0,BT@ B^T-,,1,1,7,0,imrpthumb,1,1,0,0
ball-drop-IN,0,0.175,0,2.592787427,0.1481140351,6.915833135,CS,1,0,0,1,0,BT@ BT^(,,1,1,7,0,imrpthumb,0,1,0,0
cut-bread-TR,1,1,1,1.559158112,0.3824561404,4.864421411,HO,0,1,1,0,0,1[;T;#,BTkc,3,2,2,1,ithumb,0,2,1,1
push-button-microwave-TR,1,0.7,1,2.309632531,0.1790156642,7.282615589,RVN,0,1,0,0,0,1;#,B^T-,2,1,1,1,i,0,1,1,1
shake-shaker-TR,1,1,1,1.542442976,0.3312092732,4.883457531,CM,0,1,0,0,0,BTc,BT^c,1,2,5,0,imrpthumb,0,1,0,1
box-move-IN,0,0.975,1,1.271899084,0.4760526316,3.84492673,HO,1,0,0,1,1,8T(;/,8T(;/,2,2,4,-1,mthumb,0,0,1,1
balloon-deflate-IN,0,0.3,0,2.372350288,0.1925075188,7.05241719,RVN,0,0,0,0,0,B^T- BT^<,B^T- BT^<,1,2,1,0,imrpthumb,0,-1,-1,1
toy-crawl-IN,0,0.4667,0,1.833416784,0.280839599,7.301174781,IP,0,0,0,1,1,1<;#,,2,2,3,1,i,0,1,1,0
push-toy-in-box-TR,1,0.9,1,1.369039178,0.1259827453,4.798536095,CS,0,1,0,0,0,BT-k,BT-k,1,3,1,0,imrpthumb,0,-1,-1,1
turn-fan-TR,1,1,1,2.081996496,0.2759360902,6.105151506,CM,1,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
shake-shaker-TR,1,1,1,0.6189407439,0.6286549708,2.465497775,NP,0,1,0,0,0,B^[;#,BT-k[,2,2,2,1,imrp,0,1,1,1
light-turn-on-IN,0,0.3667,0,2.903400758,0.06399122807,7.17357563,RVN,0,0,0,0,0,BT@ B^T,BT@,1,1,7,0,imrpthumb,1,1,0,1
tower-fall-IN,0,0.55,0,2.361208197,0.1217865497,5.547397611,HO,1,0,0,0,0,BTc BT(,BTc BT(,1,2,5,0,imrpthumb,0,1,0,1
taughten-string-TR,1,1,1,1.599991795,0.1670701754,4.941587064,NP,0,1,0,0,0,BT@,BT@,1,1,7,0,imrpthumb,0,1,0,1
crush-can-TR,1,0.85,1,2.510007618,0.2104208438,7.701086712,HO,0,1,0,0,0,BT^c B^T,BT^c B^T,1,2,5,0,imrpthumb,1,1,0,1
ball-hit-waterbottle-TR,1,0.5351,0,2.342554436,0.06545808967,6.527834023,IP,0,0,0,1,0,1T-;#,BTkc,2,1,1,1,ithumb,0,0,-1,1
tear-paper-TR,1,0.9,1,1.926433028,0.2887255639,6.709609316,CM,0,1,0,0,0,1@;T-;#,1@;T-;#,3,1,7,1,ithumb,0,0,1,1
put-book-on-side-TR,1,0.6958,1,2.846720212,0.07503508772,6.209872952,CM,1,1,0,0,0,B;#,B^T-,2,1,1,1,imrp,0,1,1,1
box-move-IN,0,0.5263,0,1.940124333,0.2882846004,6.011123346,NP,1,0,0,1,1,1T(;#,1T(;#,2,2,4,1,ithumb,0,2,1,1
crush-can-TR,1,0.9,1,2.532140934,0.1566165414,7.700979746,NP,0,1,0,0,0,Bo;T- B^T- BT-k[,BTc B^T- BT^[,2,3,6,0,imrpthumb,1,-1,-1,1
drop-ball-TR,1,0.5417,0,1.773739073,0.08907894737,5.6559618,IP,1,1,0,0,0,BTkc B^T- B;/,,1,4,5,0,imrpthumb,1,1,0,0
paper-airplane-land-IN,0,0.025,0,2.120326197,0.2771491228,7.162644977,NP,0,0,0,1,0,JT-;#,B;/,2,1,1,1,pthumb,0,0,-1,1
shake-shaker-TR,1,1,1,0.9811063372,0.5673245614,3.156109033,HO,0,1,0,0,0,BTkc,B^T,1,3,5,0,imrpthumb,0,1,0,1
shaving-cream-spray-IN,0,0.8421,1,2.378620199,0.132390699,7.446272831,NP,1,0,0,1,1,UT;# BTk BTx BT-^c,B;/,3,2,1,1,imthumb,1,2,1,1
spin-bread-TR,1,0.7583,1,1.816725185,0.3328947368,5.644680611,CM,1,1,0,0,0,B^T- Bkc;/,1T-;#,1,3,1,0,imrpthumb,1,-1,-1,1
toy-crawl-IN,0,0.075,0,1.687747836,0.3195614035,5.848460267,HO,0,0,0,1,1,B^T,B;/,1,2,1,0,imrpthumb,0,1,1,1
stick-break-IN,0,0.1,0,1.87783824,0.2565350877,5.429527822,HO,1,0,0,0,0,B^T-,BT^c,1,2,1,0,imrpthumb,0,-1,-1,1
adjust-picture-TR,1,0.75,1,2.466577144,0.1133659148,7.020712126,RVN,1,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
whirly-gig-drop-IN,0,0.0526,0,2.293412589,0.2062559176,6.974265217,CM,0,0,0,1,1,1T-;#,,2,1,1,1,ithumb,0,0,-1,0
cut-bread-TR,1,0.95,1,1.73398357,0.3604072682,6.058704303,RVN,0,1,1,0,0,1[;To;#,B^T- Bc;/,3,2,2,1,ithumb,0,2,1,1
toy-crawl-IN,0,0.05,0,2.508825821,0.1944561404,7.141822883,RVN,0,0,0,1,1,BT^c,,1,2,5,0,imrpthumb,0,1,0,0
take-lid-off-TR,1,1,1,1.785545253,0.2493157895,6.418565475,RVN,0,1,0,0,0,BT^c BT> 1To;/,Bc;#,2,2,5,0,imrpthumb,0,1,0,1
close-microwave-door-TR,1,0.85,1,2.016153717,0.2038548644,6.160444164,CM,1,1,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
crush-can-TR,1,1,1,2.268535092,0.2050075188,8.010073185,RVN,0,1,0,0,0,BT^( B^T-,BT^( B^T-,1,2,4,0,imrpthumb,0,1,0,1
roll-out-TR,1,1,1,2.385428641,0.152744266,7.447334375,RVN,0,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
take-lid-off-TR,1,0.9083,1,1.919496141,0.1413684211,6.390955655,CS,0,1,0,0,0,BT-kc,BT^c,1,3,5,0,imrpthumb,0,-1,-1,1
approach-coatrack-IN,0,0.7,1,2.516315127,0.1597719298,5.722477285,IP,0,0,0,1,0,UT(;#,Bc;/,2,2,4,1,imthumb,0,2,1,1
push-toy-in-box-TR,1,0.7778,1,2.229051242,0.2258002763,6.663319362,CM,0,1,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
measure-book-TR,1,0.95,1,2.582995028,0.09188283208,7.129083666,NP,0,1,1,0,0,1@;T-;#,BT@,3,1,7,1,ithumb,0,0,1,1
put-cup-on-coaster-TR,1,0.925,1,2.636391439,0.1537452723,6.113179399,CS,0,1,0,0,0,B@;T,,2,1,7,0,imrpthumb,0,1,0,0
approach-coatrack-IN,0,0.875,1,1.592473284,0.3366188198,4.373136799,RVN,0,0,0,1,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
walk-backwards-IN,0,0.15,0,2.15516335,0.2413258145,5.572070137,HO,0,0,0,1,1,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
paper-airplane-land-IN,0,0.075,0,2.520866909,0.1740350877,7.173094561,CM,0,0,0,1,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
move-box-TR,1,0.95,1,0.8387278529,0.6715789474,2.686608048,CS,1,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
cards-scatter-IN,0,0.375,0,3.031514648,0.04343734336,7.667882251,IP,0,0,0,1,1,UT;#,B;/,2,1,1,1,imthumb,0,2,1,1
ball-hit-waterbottle-TR,1,0.6917,1,2.104776278,0.202245614,6.59212319,CM,0,0,0,1,0,Bo;/ B^T,Bo;/ B^T,2,2,6,-1,imrp,1,-1,1,1
person-bend-over-IN,0,0.275,0,2.17111553,0.1956023392,6.86287035,IP,0,0,0,0,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
light-turn-on-IN,0,0.386,0,2.844305327,0.07434628237,6.473161478,CM,0,0,0,0,0,BT-@ B^T-,,1,1,7,0,imrpthumb,1,-1,1,0
light-candle-TR,1,0.9233,1,2.494565067,0.1604210526,7.033233808,NP,0,1,1,0,0,B@;T- BT-k@,BTx,2,2,7,0,imrpthumb,0,-1,1,1
walk-backwards-IN,0,0.225,0,2.500138026,0.2537192982,6.87776373,CS,0,0,0,1,1,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
pop-balloon-TR,1,0.8,1,2.227147118,0.1686528822,6.864564901,NP,0,1,1,0,0,UT>;# BT@ B^T-,BTkc BT@ B^T-,3,2,6,1,imthumb,1,2,1,1
person-bend-over-IN,0,0.3,0,2.254917598,0.1876578947,6.705125707,CS,0,0,0,0,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
dip-finger-in-jar-TR,1,0.8667,1,2.593031205,0.1096077694,7.452871707,RVN,0,1,0,0,0,J;#,Bc;#,2,1,1,1,p,0,1,1,1
hanger-swing-IN,0,0.2,0,2.415052122,0.2829415205,6.84065732,CM,0,0,0,1,1,BT-^c,,1,2,5,0,imrpthumb,0,-1,-1,0
fan-turn-IN,0,0.675,0,2.598799444,0.0816523126,6.548397543,IP,1,0,0,1,0,U<;#,,2,2,3,1,im,0,1,1,0
tape-measurer-bend-half-IN,0,0.0167,0,2.284167449,0.2501741855,7.300086816,NP,0,0,0,0,0,BT,BT@,1,1,1,0,imrpthumb,0,1,1,1
toy-skitter-IN,0,0.3333,0,2.871649625,0.1165200501,7.966930499,CS,0,0,0,1,1,B^T BT^x,,1,3,1,0,imrpthumb,0,1,1,0
march-IN,0,0.325,0,2.623521756,0.1895781499,7.523259776,CM,0,0,0,1,1,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
